day	month	year	var
01	01	1972	NA
02	01	1972	3,2
03	01	1972	NA
04	01	1972	NA
05	01	1972	NA
06	01	1972	NA
07	01	1972	22,0
08	01	1972	2,0
09	01	1972	40,0
10	01	1972	NA
11	01	1972	NA
12	01	1972	NA
13	01	1972	NA
14	01	1972	NA
15	01	1972	NA
16	01	1972	NA
17	01	1972	NA
18	01	1972	1,1
19	01	1972	8,6
20	01	1972	4,4
21	01	1972	49,8
22	01	1972	63,0
23	01	1972	44,0
24	01	1972	NA
25	01	1972	3,6
26	01	1972	26,4
27	01	1972	1,2
28	01	1972	NA
29	01	1972	15,8
30	01	1972	11,2
31	01	1972	15,4
01	02	1972	NA
02	02	1972	7,2
03	02	1972	NA
04	02	1972	16,8
05	02	1972	5,0
06	02	1972	NA
07	02	1972	14,2
08	02	1972	NA
09	02	1972	1,2
10	02	1972	31,4
11	02	1972	3,4
12	02	1972	1,2
13	02	1972	3,0
14	02	1972	NA
15	02	1972	18,0
16	02	1972	NA
17	02	1972	NA
18	02	1972	1,4
19	02	1972	44,2
20	02	1972	9,8
21	02	1972	8,6
22	02	1972	7,8
23	02	1972	1,8
24	02	1972	NA
25	02	1972	NA
26	02	1972	2,8
27	02	1972	10,2
28	02	1972	NA
29	02	1972	NA
01	03	1972	NA
02	03	1972	2,8
03	03	1972	NA
04	03	1972	NA
05	03	1972	NA
06	03	1972	NA
07	03	1972	NA
08	03	1972	NA
09	03	1972	NA
10	03	1972	NA
11	03	1972	NA
12	03	1972	NA
13	03	1972	NA
14	03	1972	NA
15	03	1972	NA
16	03	1972	3,6
17	03	1972	NA
18	03	1972	NA
19	03	1972	NA
20	03	1972	NA
21	03	1972	NA
22	03	1972	5,4
23	03	1972	1,6
24	03	1972	NA
25	03	1972	13,0
26	03	1972	2,4
27	03	1972	NA
28	03	1972	NA
29	03	1972	NA
30	03	1972	NA
31	03	1972	41,4
01	04	1972	NA
02	04	1972	NA
03	04	1972	2,6
04	04	1972	7,8
05	04	1972	NA
06	04	1972	NA
07	04	1972	NA
08	04	1972	3,2
09	04	1972	NA
10	04	1972	NA
11	04	1972	NA
12	04	1972	NA
13	04	1972	NA
14	04	1972	NA
15	04	1972	5,2
16	04	1972	NA
17	04	1972	NA
18	04	1972	NA
19	04	1972	NA
20	04	1972	NA
21	04	1972	NA
22	04	1972	NA
23	04	1972	NA
24	04	1972	NA
25	04	1972	NA
26	04	1972	NA
27	04	1972	NA
28	04	1972	NA
29	04	1972	NA
30	04	1972	NA
01	05	1972	NA
02	05	1972	NA
03	05	1972	4,2
04	05	1972	NA
05	05	1972	NA
06	05	1972	NA
07	05	1972	NA
08	05	1972	NA
09	05	1972	NA
10	05	1972	NA
11	05	1972	NA
12	05	1972	NA
13	05	1972	NA
14	05	1972	NA
15	05	1972	NA
16	05	1972	NA
17	05	1972	NA
18	05	1972	NA
19	05	1972	NA
20	05	1972	NA
21	05	1972	NA
22	05	1972	NA
23	05	1972	4,0
24	05	1972	2,3
25	05	1972	27,3
26	05	1972	NA
27	05	1972	NA
28	05	1972	NA
29	05	1972	NA
30	05	1972	NA
31	05	1972	NA
01	06	1972	NA
02	06	1972	NA
03	06	1972	NA
04	06	1972	NA
05	06	1972	NA
06	06	1972	NA
07	06	1972	NA
08	06	1972	NA
09	06	1972	NA
10	06	1972	NA
11	06	1972	NA
12	06	1972	NA
13	06	1972	NA
14	06	1972	NA
